Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,Afghanistan,Import,  All Products,Import (US$ Thousand),4597.924,2367.516,3002.751,6332.573,5711.536,17795.968,11149.085,17520.208,10101.932,780.891,769.05,4156.761,62704.539,25106.462,67649.574,45827.15,76810.325,86906.964,124107.6,87474.254,26636.658,36759.941,45514.058,72809.599,24493.917,34476.346,14693.748,29792.145
United States,Albania,Import,  All Products,Import (US$ Thousand),3570.769,5539.635,8138.072,6622.001,10177.914,11177.941,12468.397,13080.819,9470.74,7767.276,7270.132,6222.203,4696.904,12211.63,38852.832,25067.445,10121.585,12435.464,15804.487,31775.534,27850.624,18856.919,22776.586,70266.373,163094.861,125856.719,43364.778,70407.111
United States,Algeria,Import,  All Products,Import (US$ Thousand),2277975.808,1693779.712,1710781.824,1664329.728,1807209.728,2270363.392,2645617.92,1798656,1951535.36,2724270.079,2701903.447,2555071.935,5121534.638,7926532.131,10931930.52,16088929.74,18431957.98,20032288.95,11150475.83,14943690.2,14912502.64,9993334.569,4830871.545,4794597.266,3537247.687,3418707.042,3991779.864,4781629.382
United States,Andorra,Import,  All Products,Import (US$ Thousand),209.67,64.876,145.855,122.616,252.96,2637.802,298.822,140.558,134.89,343.82,220.79,810.151,289.679,970.442,712.001,2745.47,458.803,902.653,541.665,482.319,619.386,428.818,1404.73,1250.517,4887.508,6689.823,13761.814,16087.299
United States,Angola,Import,  All Products,Import (US$ Thousand),1914486.4,2435714.56,2237486.336,2209201.664,2390158.848,2855055.104,2935766.272,2450877.44,2574613.76,3555286.27,3095899.169,3283495.192,4508909.969,4796799.975,8846626.689,12174574.01,12925965.22,19497727.58,9703060.917,12273944.97,13833012.04,9823874.266,8742942.417,5837752.018,2917054.295,2976766.381,2686493.698,2768924.982
United States,Anguila,Import,  All Products,Import (US$ Thousand),1416.347,67.604,328.24,278.336,73.825,842.409,749.329,2150.837,2320.058,1652.868,1835.227,999.814,1349.588,917.609,3849.426,4303.461,4724.395,4515.556,5922.443,2620.005,4982.697,3574.428,4033.764,5470.943,5688.836,4141.391,4616.978,5154.363
United States,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),4626.933,5818.812,16366.641,5570.187,3200.536,8916.412,5266.918,2100.084,1968.028,2291.648,3741.41,3748.315,13547.787,4738.714,4604.813,5935.891,8946.171,5039.857,9416.237,5624.255,6701.119,9640.118,9606.755,7948.68,6969.811,17202.066,12001.236,4949.775
United States,Argentina,Import,  All Products,Import (US$ Thousand),1399333.888,1369500.672,1297639.936,1819572.224,1881129.984,2450563.84,2379927.552,2441024.512,2793390.08,3099473.404,3013446.446,3434104.32,3435500.071,4067279.572,4956583.262,4276932.932,4819989.736,6177698.342,4133441.888,4007943.482,4735427.165,4350415.071,4642247.609,4453637.876,4187110.074,4911097.074,5001495.389,5032016.626
United States,Armenia,Import,  All Products,Import (US$ Thousand),,1444.995,781.739,1001.722,18327.544,1557.103,6310.624,17189.904,16052.44,23004.587,32902.359,31787.083,38664.975,47629.962,47202.701,48083.033,33851.295,43378.736,79103.385,78831.804,96717.923,88565.24,101155.685,101211.587,66017.473,44859.468,70903.422,55511.582
United States,Aruba,Import,  All Products,Import (US$ Thousand),106040.608,219671.36,481715.936,488874.336,446421.312,590960.576,646440.256,498407.808,708772.352,1535548.964,1034035.494,805698.921,1001703.384,1862155.759,3026062.462,2922333.255,3069938.037,3259697.909,1309214.273,20570.013,3325157.926,826770.063,41861.658,61620.993,55510.375,16584.256,35963.154,31666.165
United States,Australia,Import,  All Products,Import (US$ Thousand),4271383.552,3949965.824,3513833.984,3423523.072,3560497.408,4117718.016,4895538.688,5697004.032,5584667.648,6424999.568,6470381.342,6816507.245,6713861.918,7899475.342,7659316.346,8541085.343,8956453.032,10925971.42,8220815.311,8795060.19,10364472.44,9358158.834,8900155.828,10765008.04,10965056.48,9556561.771,10166117.14,10209238.8
United States,Austria,Import,  All Products,Import (US$ Thousand),1315457.28,1346624.64,1456680.576,1810966.784,2034106.496,2268941.312,2443261.44,2641472.768,2976416.256,3221152.708,3967130.702,3923175.916,4597564.628,5939603.561,6273407.384,8486455.72,10875270.65,8436062.54,6162950.296,6917706.879,9524376.946,9318123.991,9598814.012,10889474.87,11432263.37,11070626.83,11961519.9,13712368.87
United States,Azerbaijan,Import,  All Products,Import (US$ Thousand),,339.047,241.283,317.607,862.311,4968.437,6259.826,5213.321,28400.71,20929.753,20636.971,36649.128,13001.675,46184.943,49772.547,741408.39,1942465.197,4488681.427,2027580.491,2041233.583,2472504.326,1094919.275,1136157.099,1035417.811,525114.373,152590.673,216046.063,515798.157
United States,"Bahamas, The",Import,  All Products,Import (US$ Thousand),486953.568,607161.664,366411.232,219507.248,170682.832,178241.072,179457.232,153799.632,207193.744,275016.399,313889.155,469065.903,499942.424,667660.409,725138.117,475413.009,523021.096,626403.165,844826.02,842052.422,787723.344,563033.044,598974.355,555226.293,470573.525,307354.294,470763.983,461512.375
United States,Bahrain,Import,  All Products,Import (US$ Thousand),100288.336,71177.616,109376.336,165302.864,145600.512,124395.552,126319.088,169777.632,241389.728,337599.548,424065.5,419182.25,401390.615,431556.432,454859.935,653946.932,654780.559,570222.303,502727.083,445977.112,547474.212,701010.977,635587.426,1004834.601,950597.439,804631.382,1032996.115,1025261.275
United States,Bangladesh,Import,  All Products,Import (US$ Thousand),571889.024,899601.28,952960.256,1160599.424,1345303.808,1422825.856,1780511.104,1946407.552,2053480.576,2417561.785,2359015.276,2286291.5,2213469.453,2464878.684,2881335.258,3496714.233,3634597.318,3982745.59,3886495.206,4541169.17,5083031.159,4915569.502,5353438.618,5475305.24,6225863.482,6119725.526,5890025.132,6328883.498
United States,Barbados,Import,  All Products,Import (US$ Thousand),32274.68,31450.964,35068.6,35773.64,38725.656,42339.564,43344.016,36506.696,60084.388,38638.188,39545.873,35757.189,45164.684,38277.498,33296.468,35235.736,39775.932,42232.046,33879.343,44365.272,48316.834,54133.58,55377.376,53482.241,70662.933,51406.841,50133.728,57149.696
United States,Belarus,Import,  All Products,Import (US$ Thousand),,29612.208,39088.92,60474.18,49789.848,56675.944,70082.064,112563.032,99819.904,104003.947,108228.932,136455.476,237008.63,375316.129,381251.167,584749.693,1100830.581,1118561.762,596393.706,181892.837,374264.35,153440.844,104889.262,140611.471,166338.046,143509.212,294890.925,417808.53
United States,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,,9423239.168,9929161.135,10157634.79,10037911.97,10401248.02,12809963.95,13405067.74,14788625,15676011.41,17758479.94,13997086.58,15842319.37,17804275.41,17366742.38,19011553.03,21383561.02,20012244.6,17451672.61,15422827.33,17877011.42
